date,poNumber,invoiceNumber,vendorEmployee,description,amount,qty,unitCost,workPackageRef,costCode
,R105774,,(GLOBAL EARTHWORKS),Req 6907 GEU Excavation - Partial Invoice,147087.00,,,26G-00920,01-999-00920
,R105345,,(OLDCASTLE INFRASTRUCTURE),Req 6544 Underground Vaults - Partial Invoice,26000.00,,,26S-00980,01-999-00980
,R106212,,(VAN METER INC.),Req 7262 Southwire Bare Ground - Partial Invoice,18057.00,,,26S-01100,NP-999-01100
,R105931,,(ELLIOTT ELECTRIC SUPPLY INC),Req 7032 PVC - Partial Invoice,52320.19,,,26G-00930,
,R105738,,(PERMIT SERVICE INC),Req 6914 Permit - Paid in Full,45024.50,,,26G-01070,01-999-01070
,R105611,,(BORDER STATES),Req 6742 Zilla 1 & 2 PVC ASAP - Invoice,30433.70,,,26G-00930,
,R105612,,(BORDER STATES),Req 6742 Zilla 4 & 5 PVC HFR - Partial Invoice,23966.80,,,26G-00930,
,R106340,,(BORDER STATES),Req 7384 PVC & Grounding - Partial Invoice,10233.34,,,26S-01100,NP-999-01100
,R105676,,(POLYMERSHAPES LLC),Req 6766 Duct Bank Spacer Sheet - Invoice,13198.50,,,26G-00930,
,R105982,,(AGILIX SOLUTIONS),Req 7065 Safety/Consumables - Partial Invoice,830.81,,,26G-01070,01-999-01070
,R106207,,(WHITE CAP CONST SUPPLY),Req 7271 Rebar - Invoice,2284.20,,,26G-00930,
,R105981,,(PACKER FASTENER & SUPPLY INC),Req 7065 Hardware - Invoice,2145.00,,,26G-00930,
,R105830,,(WHITE CAP CONST SUPPLY),Req 6947 Rebar U's - Invoice Paid,1385.00,,,26G-00930,
,R105609,,(ELLIOTT ELECTRIC SUPPLY INC),Req 6742 Zilla 4 & 5 Glue & Debinder,884.36,,,26G-00930,
,R105610,,(ELLIOTT ELECTRIC SUPPLY INC),Req 6742 Zilla 1 & 2 Glue & Debinder,884.36,,,26G-00930,
,R105766,,(WHITE CAP CONST SUPPLY),Req 6914 Rebar - Invoice Paid,761.40,,,26G-00930,
,R106261,,(BORDER STATES),TR 3537 Clamp and Ignitor,586.72,,,26S-01100,
,R106208,,(WHITE CAP CONST SUPPLY),Req 7271 Rebar Tie Wire,327.60,,,26G-00930,
,R105783,,(AGILIX SOLUTIONS),Req 6914 Tie Wire & Plastic Cap - Paid,322.06,,,26G-00930,
,R105959,,(GRAYBAR ELECTRIC SUPPLY CO),Req 7065 Conduit & Fittings - Paid,355.07,,,26G-00930,
,R106240,,(WHITE CAP CONST SUPPLY),TR 3544 Mini Sledge,40.52,,,26G-01070,
,R106074,,(COMMERCE BANK COMMERCIAL),Req 7187 Amazon,12.99,,,26G-01070,
